A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,5.182979200035334,None,5.182979200035334,None,space,1.9512690999545157,0.004193779081106186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7.1346338000148535,None,7.1346338000148535,None,7.1346338000148535,8.135740700177848,8.119043100159615,9.12154550012201,9.12154550012201,10.123589400202036,10.140547300223261,None,10.140547300223261,None,10.140547300223261,None,10.140547300223261,None,13.643080700188875,None,13.643080700188875,None,15.146284500136971,None,15.146284500136971,None,15.146284500136971,None,None,0.009305160026997328,1.017416660208255,15.146284500136971,None,15.146284500136971,None,16.16159880021587,None,16.16159880021587,None,16.16159880021587,None,16.16159880021587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96436550002545,None,17.96436550002545,None,17.96436550002545,None,None,0.012405359651893377,1.0224579595960677,17.96436550002545,None,17.96436550002545,None,18.97931560035795,None,18.97931560035795,None,18.97931560035795,None,18.97931560035795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.78095160005614,None,20.78095160005614,None,20.78095160005614,None,return,0.012247160077095032,1.007967360317707,20.78095160005614,None,20.78095160005614,None,21.782179200090468,None,21.782179200090468,None,21.782179200090468,None,21.782179200090468,None,0.208430300001055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4834051001817,None,23.4834051001817,None,23.4834051001817,None,None,0.010523059871047735,1.0040126596577466,23.4834051001817,None,23.4834051001817,None,24.48565490031615,None,24.48565490031615,None,24.48565490031615,None,24.48565490031615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.086272300221026,None,26.086272300221026,None,26.086272300221026,None,None,0.011293360032141209,1.0075104599818587,26.086272300221026,None,26.086272300221026,None,27.08678280003369,None,27.08678280003369,None,27.08678280003369,None,27.08678280003369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.691927900072187,None,28.691927900072187,None,28.691927900072187,None,None,0.009082860313355923,1.0169587605632842,28.691927900072187,None,28.691927900072187,None,29.705513200256974,None,29.705513200256974,None,29.705513200256974,None,29.705513200256974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.509376700036228,None,31.509376700036228,None,31.509376700036228,None,None,0.012048759963363409,1.0241809603758156,31.509376700036228,None,31.509376700036228,None,32.52615600032732,None,32.52615600032732,None,32.52615600032732,None,32.52615600032732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.12973859999329,None,34.12973859999329,None,34.12973859999329,None,None,0.011439959984272718,1.021573859732598,34.12973859999329,None,34.12973859999329,None,35.145348200108856,None,35.145348200108856,None,35.145348200108856,None,35.145348200108856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.85030130017549,None,36.85030130017549,None,36.85030130017549,None,None,0.0075674597173929214,1.0139783597551286,36.85030130017549,None,36.85030130017549,None,37.86548120016232,None,37.86548120016232,None,37.86548120016232,None,37.86548120016232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66779140010476,None,39.66779140010476,None,39.66779140010476,None,None,0.011698160320520401,1.0216874601319432,39.66779140010476,None,39.66779140010476,None,40.682076500263065,None,40.682076500263065,None,40.682076500263065,None,40.682076500263065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,11,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_15_1734,intro,59.94697091051016,
