A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,5.259859799873084,None,5.259859799873084,None,space,1.5751455998979509,0.006551478058099747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,6.844582799822092,None,6.844582799822092,None,6.844582799822092,7.845552300103009,7.828956800047308,8.829893299844116,8.829893299844116,9.83299019979313,9.856428199913353,None,9.856428199913353,None,9.856428199913353,None,9.856428199913353,None,13.369329299777746,None,13.369329299777746,None,14.872845300007612,None,14.872845300007612,None,14.872845300007612,None,None,0.008859379682689905,1.0166866797953844,14.872845300007612,None,14.872845300007612,None,15.88882749993354,None,15.88882749993354,None,15.88882749993354,None,15.88882749993354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.691827099770308,None,17.691827099770308,None,17.691827099770308,None,None,0.010472479742020369,1.0197188798338175,17.691827099770308,None,17.691827099770308,None,18.707922500092536,None,18.707922500092536,None,18.707922500092536,None,18.707922500092536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.512069299817085,None,20.512069299817085,None,20.512069299817085,None,None,0.010953879449516535,1.0188855794258416,20.512069299817085,None,20.512069299817085,None,21.527346199844033,None,21.527346199844033,None,21.527346199844033,None,21.527346199844033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.231713199988008,None,23.231713199988008,None,23.231713199988008,None,None,0.01042768033221364,1.0191042800433934,23.231713199988008,None,23.231713199988008,None,24.24608469987288,None,24.24608469987288,None,24.24608469987288,None,24.24608469987288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8487168001011,None,25.8487168001011,None,25.8487168001011,None,None,0.012087079230695963,1.0222957795485854,25.8487168001011,None,25.8487168001011,None,26.865325399674475,None,26.865325399674475,None,26.865325399674475,None,26.865325399674475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4675807999447,None,28.4675807999447,None,28.4675807999447,None,None,0.01204538019374013,1.0229284800589085,28.4675807999447,None,28.4675807999447,None,29.483949499670416,None,29.483949499670416,None,29.483949499670416,None,29.483949499670416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.287575599737465,None,31.287575599737465,None,31.287575599737465,None,None,0.011120180133730173,1.0209522801451385,31.287575599737465,None,31.287575599737465,None,32.30320729967207,None,32.30320729967207,None,32.30320729967207,None,32.30320729967207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90583739988506,None,33.90583739988506,None,33.90583739988506,None,None,0.011998879723250866,1.0227524801157415,33.90583739988506,None,33.90583739988506,None,34.92225039983168,None,34.92225039983168,None,34.92225039983168,None,34.92225039983168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.624264599755406,None,36.624264599755406,None,36.624264599755406,None,None,0.012184579391032457,1.0229997793212533,36.624264599755406,None,36.624264599755406,None,37.64277709973976,None,37.64277709973976,None,37.64277709973976,None,37.64277709973976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
