A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,6.610602899978403,None,6.610602899978403,None,space,3.0339266999799293,0.0023083999403752387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,9.646532299986575,None,9.646532299986575,None,9.646532299986575,10.647385899996152,10.630714699975215,11.631775299989386,11.631775299989386,12.632548299996415,12.665833099978045,None,12.665833099978045,None,12.665833099978045,None,12.665833099978045,None,16.169078199978685,None,16.169078199978685,None,17.68708579998929,None,17.68708579998929,None,17.68708579998929,None,a,0.08917690001544543,0.006056159996660426,1.0130760599859059,17.68708579998929,None,17.68708579998929,None,18.687913999980083,None,18.687913999980083,None,18.687913999980083,None,18.687913999980083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.506291199999396,None,20.506291199999396,None,20.506291199999396,None,a,0.253799700003583,0.006223359960131347,1.0131623599736486,20.506291199999396,None,20.506291199999396,None,21.507049599982565,None,21.507049599982565,None,21.507049599982565,None,21.507049599982565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32530629998655,None,23.32530629998655,None,23.32530629998655,None,l,0.013369699998293072,0.008742559992242604,1.0183006600127555,23.32530629998655,None,23.32530629998655,None,24.326232499995967,None,24.326232499995967,None,24.326232499995967,None,24.326232499995967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04438099998515,None,26.04438099998515,None,26.04438099998515,None,l,0.08548859998700209,0.007964059972437099,1.016729459981434,26.04438099998515,None,26.04438099998515,None,27.04526569999871,None,27.04526569999871,None,27.04526569999871,None,27.04526569999871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.646527299977606,None,28.646527299977606,None,28.646527299977606,None,a,0.1900413999974262,0.011554959986824542,1.0074248599994462,28.646527299977606,None,28.646527299977606,None,29.64752589998534,None,29.64752589998534,None,29.64752589998534,None,29.64752589998534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26554509997368,None,31.26554509997368,None,31.26554509997368,None,a,0.02483629999915138,0.008555860025808215,1.0179295600100886,31.26554509997368,None,31.26554509997368,None,32.26636509998934,None,32.26636509998934,None,32.26636509998934,None,32.26636509998934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.084643899986986,None,34.084643899986986,None,34.084643899986986,None,a,0.048830100015038624,0.01171235999208875,1.0242112599953543,34.084643899986986,None,34.084643899986986,None,35.085619199991925,None,35.085619199991925,None,35.085619199991925,None,35.085619199991925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70364569997764,None,36.70364569997764,None,36.70364569997764,None,a,0.03489519999129698,0.008810459985397756,1.0185031599830836,36.70364569997764,None,36.70364569997764,None,37.70448609997402,None,37.70448609997402,None,37.70448609997402,None,37.70448609997402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.40595489999396,None,39.40595489999396,None,39.40595489999396,None,a,0.11122570000588894,0.01208875997690484,1.0083643599937204,39.40595489999396,None,39.40595489999396,None,40.406969599978765,None,40.406969599978765,None,40.406969599978765,None,40.406969599978765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,intro,59.94621626046529,
