A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,6.7227473000239115,None,6.7227473000239115,None,space,8.63641129998723,0.011459200060926378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,15.363794700009748,None,15.363794700009748,None,15.363794700009748,16.364733099995647,16.348033800022677,17.34896210001898,17.34896210001898,18.349787300016033,18.38317030001781,None,18.38317030001781,None,18.38317030001781,None,18.38317030001781,None,21.88612569999532,None,21.88612569999532,None,23.404214000009233,None,23.404214000009233,None,23.404214000009233,None,a,0.2799644999904558,0.007727449992671609,1.0163319499988575,23.404214000009233,None,23.404214000009233,None,24.40502610002295,None,24.40502610002295,None,24.40502610002295,None,24.40502610002295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.223307200009003,None,26.223307200009003,None,26.223307200009003,None,l,0.22951569998986088,0.008334349957294762,1.0175411499803886,26.223307200009003,None,26.223307200009003,None,27.22407419999945,None,27.22407419999945,None,27.22407419999945,None,27.22407419999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.042433000024175,None,29.042433000024175,None,29.042433000024175,None,a,0.33120359998429194,0.009153050021268427,1.019362450024346,29.042433000024175,None,29.042433000024175,None,30.043308699998306,None,30.043308699998306,None,30.043308699998306,None,30.043308699998306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.761406200006604,None,31.761406200006604,None,31.761406200006604,None,a,0.25533650000579655,0.012544650002382696,1.0260544500197284,31.761406200006604,None,31.761406200006604,None,32.76229179999791,None,32.76229179999791,None,32.76229179999791,None,32.76229179999791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3804003999976,None,34.3804003999976,None,34.3804003999976,None,None,,0.007956150016980246,1.0168291500012856,34.3804003999976,None,34.3804003999976,None,35.38126130000455,None,35.38126130000455,None,35.38126130000455,None,35.38126130000455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.999478300014744,None,36.999478300014744,None,36.999478300014744,None,None,,0.00998234999133274,1.0208864500164054,36.999478300014744,None,36.999478300014744,None,38.000245700008236,None,38.000245700008236,None,38.000245700008236,None,38.000245700008236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81851710000774,None,39.81851710000774,None,39.81851710000774,None,None,,0.010815349989570677,1.0224678499798756,39.81851710000774,None,39.81851710000774,None,40.819282500015106,None,40.819282500015106,None,40.819282500015106,None,40.819282500015106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.43740940000862,None,42.43740940000862,None,42.43740940000862,None,None,,0.011161150003317744,1.023146750027081,42.43740940000862,None,42.43740940000862,None,43.438239900016924,None,43.438239900016924,None,43.438239900016924,None,43.438239900016924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.13966880002408,None,45.13966880002408,None,45.13966880002408,None,None,,0.01189194995095022,1.0079361499520019,45.13966880002408,None,45.13966880002408,None,46.140672000008635,None,46.140672000008635,None,46.140672000008635,None,46.140672000008635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
