A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,EEG headset,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.102030099835247,None,11.102030099835247,None,space,5.346216200152412,0.00835119909606874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,0,0,0,0,,,,,,,,,16.440067799994722,None,16.440067799994722,None,16.440067799994722,17.44106169999577,17.424308199901134,18.4251625998877,18.4251625998877,19.426048299996182,19.4597397998441,None,19.4597397998441,None,19.4597397998441,None,19.4597397998441,None,22.962558599887416,None,22.962558599887416,None,24.480527099920437,None,24.480527099920437,None,24.480527099920437,None,None,0.009196100058034062,1.0192579000722617,24.480527099920437,None,24.480527099920437,None,25.48178289993666,None,25.48178289993666,None,25.48178289993666,None,25.48178289993666,None,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.301999499788508,None,27.301999499788508,None,27.301999499788508,None,None,0.011567100184038281,1.0406837002374232,27.301999499788508,None,27.301999499788508,None,28.31719179986976,None,28.31719179986976,None,28.31719179986976,None,28.31719179986976,None,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0188072999008,None,30.0188072999008,None,30.0188072999008,None,l,0.012854700209572911,1.0098573002032936,30.0188072999008,None,30.0188072999008,None,31.01953349984251,None,31.01953349984251,None,31.01953349984251,None,31.01953349984251,None,0.6898143999278545,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.73828779999167,None,32.73828779999167,None,32.73828779999167,None,a,0.011923900106921792,1.0246878999751061,32.73828779999167,None,32.73828779999167,None,33.73904089978896,None,33.73904089978896,None,33.73904089978896,None,33.73904089978896,None,0.9063831998500973,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44006839999929,None,35.44006839999929,None,35.44006839999929,None,None,0.012555899797007442,1.0093091998714954,35.44006839999929,None,35.44006839999929,None,36.44090829999186,None,36.44090829999186,None,36.44090829999186,None,36.44090829999186,None,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.242501499829814,None,38.242501499829814,None,38.242501499829814,None,l,0.012874000240117311,1.0099810000974685,38.242501499829814,None,38.242501499829814,None,39.24382529989816,None,39.24382529989816,None,39.24382529989816,None,39.24382529989816,None,0.4177349000237882,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.062179300002754,None,41.062179300002754,None,41.062179300002754,None,None,0.011184400180354714,1.0232298001646996,41.062179300002754,None,41.062179300002754,None,42.062472799792886,None,42.062472799792886,None,42.062472799792886,None,42.062472799792886,None,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.66391689982265,None,43.66391689982265,None,43.66391689982265,None,l,0.012352999998256564,1.0088897999376059,43.66391689982265,None,43.66391689982265,None,44.664777599973604,None,44.664777599973604,None,44.664777599973604,None,44.664777599973604,None,0.4760227999649942,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.46629979996942,None,46.46629979996942,None,46.46629979996942,None,l,0.012105400208383799,1.0085200001485646,46.46629979996942,None,46.46629979996942,None,47.467263099970296,None,47.467263099970296,None,47.467263099970296,None,47.467263099970296,None,0.41742880013771355,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06862899987027,None,49.06862899987027,None,49.06862899987027,None,a,0.012507200008258224,1.0091624001506716,49.06862899987027,None,49.06862899987027,None,50.06991149997339,None,50.06991149997339,None,50.06991149997339,None,50.06991149997339,None,0.38340260018594563,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.770981199806556,None,51.770981199806556,None,51.770981199806556,None,a,0.01243799994699657,1.0090114998165518,51.770981199806556,None,51.770981199806556,None,52.771916299825534,None,52.771916299825534,None,52.771916299825534,None,52.771916299825534,None,0.3048817999660969,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.37325829989277,None,54.37325829989277,None,54.37325829989277,None,a,0.012008500052616,1.00810130010359,54.37325829989277,None,54.37325829989277,None,55.374093799851835,None,55.374093799851835,None,55.374093799851835,None,55.374093799851835,None,0.31807089992798865,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07563509978354,None,57.07563509978354,None,57.07563509978354,None,l,0.01295039989054203,1.0100960000418127,57.07563509978354,None,57.07563509978354,None,58.07690709992312,None,58.07690709992312,None,58.07690709992312,None,58.07690709992312,None,0.21677790000103414,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.87806229991838,None,59.87806229991838,None,59.87806229991838,None,l,0.012058100197464228,1.0084292001556605,59.87806229991838,None,59.87806229991838,None,60.87890839995816,None,60.87890839995816,None,60.87890839995816,None,60.87890839995816,None,0.46164620015770197,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.480347299948335,None,62.480347299948335,None,62.480347299948335,None,l,0.012083000037819147,1.0083719999529421,62.480347299948335,None,62.480347299948335,None,63.48125879978761,None,63.48125879978761,None,63.48125879978761,None,63.48125879978761,None,0.21141099999658763,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.18266579997726,None,65.18266579997726,None,65.18266579997726,None,l,0.012071099830791354,1.0081201000139117,65.18266579997726,None,65.18266579997726,None,66.18370779999532,None,66.18370779999532,None,66.18370779999532,None,66.18370779999532,None,0.8766435999423265,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1839,untitled,3.2.4,59.93540162066727,
