A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,5.599021399859339,None,5.599021399859339,None,space,0.917646000161767,0.01041219849139452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,6.516502699814737,None,6.516502699814737,None,6.516502699814737,7.51737939985469,7.500711400061846,8.501852300018072,8.501852300018072,9.502511799801141,9.535934600047767,None,9.535934600047767,None,9.535934600047767,None,9.535934600047767,None,13.038955700118095,None,13.038955700118095,None,14.557389299850911,None,14.557389299850911,None,14.557389299850911,None,None,0.007189619820564985,1.0145532200112939,14.557389299850911,None,14.557389299850911,None,15.557886499911547,None,15.557886499911547,None,15.557886499911547,None,15.557886499911547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.376124700065702,None,17.376124700065702,None,17.376124700065702,None,a,0.0111085195094347,1.0230353195220232,17.376124700065702,None,17.376124700065702,None,18.37698239972815,None,18.37698239972815,None,18.37698239972815,None,18.37698239972815,None,0.32525070011615753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.195227100048214,None,20.195227100048214,None,20.195227100048214,None,l,0.010092219337821007,1.021080119535327,20.195227100048214,None,20.195227100048214,None,21.196085599716753,None,21.196085599716753,None,21.196085599716753,None,21.196085599716753,None,0.38514350028708577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.914276800118387,None,22.914276800118387,None,22.914276800118387,None,a,0.00974171981215477,1.0204072198830545,22.914276800118387,None,22.914276800118387,None,23.915113300085068,None,23.915113300085068,None,23.915113300085068,None,23.915113300085068,None,0.5697399000637233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51649389974773,None,25.51649389974773,None,25.51649389974773,None,l,0.011004920117557049,1.006231320090592,25.51649389974773,None,25.51649389974773,None,26.517403499688953,None,26.517403499688953,None,26.517403499688953,None,26.517403499688953,None,0.6960482997819781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.135537599679083,None,28.135537599679083,None,28.135537599679083,None,l,0.01137571968138218,1.023643419612199,28.135537599679083,None,28.135537599679083,None,29.136297999881208,None,29.136297999881208,None,29.136297999881208,None,29.136297999881208,None,0.3821229003369808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.954614699818194,None,30.954614699818194,None,30.954614699818194,None,l,0.011368319857865572,1.0236521195620298,30.954614699818194,None,30.954614699818194,None,31.95542739983648,None,31.95542739983648,None,31.95542739983648,None,31.95542739983648,None,0.34698629984632134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.55682899989188,None,33.55682899989188,None,33.55682899989188,None,l,0.012189219240099192,1.0085948193445802,33.55682899989188,None,33.55682899989188,None,34.55773939983919,None,34.55773939983919,None,34.55773939983919,None,34.55773939983919,None,0.6490970999002457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25917029986158,None,36.25917029986158,None,36.25917029986158,None,l,0.011473619844764471,1.0071493196301162,36.25917029986158,None,36.25917029986158,None,37.26004259986803,None,37.26004259986803,None,37.26004259986803,None,37.26004259986803,None,0.44995269970968366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
