A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_1.rt,keyPressTrial_3.rt,Participant ID,Age,Sex,Handedness,Experiment Mode,Data modality,EEG headset,Visualize Epochs,date,frameRate,
,,,,,,,,6.595102800056338,None,6.595102800056338,None,space,5.817021199967712,0.006150530418381095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,0,0,0,0,,,,,,,,,12.41646770015359,None,12.41646770015359,None,12.41646770015359,13.417332900222391,13.400624900124967,14.40162490005605,14.40162490005605,15.40284900018014,15.436233600135893,None,15.436233600135893,None,15.436233600135893,None,15.436233600135893,None,18.938897300045937,None,18.938897300045937,None,20.456922700162977,None,20.456922700162977,None,20.456922700162977,None,None,0.009357869857922196,1.019567369716242,20.456922700162977,None,20.456922700162977,None,21.45774220000021,None,21.45774220000021,None,21.45774220000021,None,21.45774220000021,None,None,0.010532570071518421,1.8060553700197488,21.45774220000021,None,21.45774220000021,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.259292400209233,None,23.259292400209233,None,23.259292400209233,None,None,0.01034497027285397,1.0054655701387674,23.259292400209233,None,23.259292400209233,None,24.261195100145414,None,24.261195100145414,None,24.261195100145414,None,24.261195100145414,None,None,0.011873969808220863,1.708002669736743,24.261195100145414,None,24.261195100145414,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.961655600229278,None,25.961655600229278,None,25.961655600229278,None,a,0.011855669785290956,1.0079785697162151,25.961655600229278,None,25.961655600229278,None,26.962582200067118,None,26.962582200067118,None,26.962582200067118,None,26.962582200067118,None,None,0.011767870048061013,1.7083551699761301,26.962582200067118,None,26.962582200067118,None,0.35130629991181195,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.66410110006109,None,28.66410110006109,None,28.66410110006109,None,None,0.012550269952043891,1.009367970051244,28.66410110006109,None,28.66410110006109,None,29.66490520001389,None,29.66490520001389,None,29.66490520001389,None,29.66490520001389,None,None,0.011193769983947277,1.7071207698900253,29.66490520001389,None,29.66490520001389,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.36640050006099,None,31.36640050006099,None,31.36640050006099,None,None,0.012662670109421015,1.0095098700840026,31.36640050006099,None,31.36640050006099,None,32.3672509000171,None,32.3672509000171,None,32.3672509000171,None,32.3672509000171,None,None,0.011544870212674141,1.808016770053655,32.3672509000171,None,32.3672509000171,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16880610003136,None,34.16880610003136,None,34.16880610003136,None,None,0.013019370147958398,1.0103929701726884,34.16880610003136,None,34.16880610003136,None,35.246856100158766,None,35.246856100158766,None,35.246856100158766,None,35.246856100158766,None,None,0.011942770099267364,1.895549870096147,35.246856100158766,None,35.246856100158766,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.059880500193685,None,37.059880500193685,None,37.059880500193685,None,None,0.011475069914013147,1.020952669903636,37.059880500193685,None,37.059880500193685,None,38.07559660007246,None,38.07559660007246,None,38.07559660007246,None,38.07559660007246,None,backspace,0.009156769840046763,1.6059362697415054,38.07559660007246,None,38.07559660007246,None,,0.717479599872604,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.67797130020335,None,39.67797130020335,None,39.67797130020335,None,None,0.012497569900006056,1.0269208699464798,39.67797130020335,None,39.67797130020335,None,40.697762600146234,None,40.697762600146234,None,40.697762600146234,None,40.697762600146234,None,lctrl,0.008810269879177213,1.8181278698612005,40.697762600146234,None,40.697762600146234,None,,1.5020009998697788,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51361090014689,None,42.51361090014689,None,42.51361090014689,None,None,0.012463570106774569,1.022826670203358,42.51361090014689,None,42.51361090014689,None,43.530068800086156,None,43.530068800086156,None,43.530068800086156,None,43.530068800086156,None,None,0.01192676997743547,1.6122327700722963,43.530068800086156,None,43.530068800086156,None,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1534,59.95157115685644,
