A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,6.208135100081563,None,6.208135100081563,None,space,1.3030981998890638,0.004467197693884373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7.509159099776298,None,7.509159099776298,None,7.509159099776298,8.510167699772865,8.493474999908358,9.49456200003624,9.49456200003624,10.495248999912292,10.528593100141734,None,10.528593100141734,None,10.528593100141734,None,10.528593100141734,None,14.031685200054199,None,14.031685200054199,None,15.549715700093657,None,15.549715700093657,None,15.549715700093657,None,a,0.3824458001181483,0.00904760044068098,1.0189909003674984,15.549715700093657,None,15.549715700093657,None,16.5505673000589,None,16.5505673000589,None,16.5505673000589,None,16.5505673000589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.368861000053585,None,18.368861000053585,None,18.368861000053585,None,None,,0.0113944998010993,1.0235580997541547,18.368861000053585,None,18.368861000053585,None,19.36970209982246,None,19.36970209982246,None,19.36970209982246,None,19.36970209982246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17462190007791,None,21.17462190007791,None,21.17462190007791,None,None,,0.012563500087708235,1.0238616997376084,21.17462190007791,None,21.17462190007791,None,22.192188099958003,None,22.192188099958003,None,22.192188099958003,None,22.192188099958003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.896294000092894,None,23.896294000092894,None,23.896294000092894,None,None,,0.009335099719464779,1.017174399457872,23.896294000092894,None,23.896294000092894,None,24.911125699989498,None,24.911125699989498,None,24.911125699989498,None,24.911125699989498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.514695399906486,None,26.514695399906486,None,26.514695399906486,None,None,,0.010993700474500656,1.0191279002465308,26.514695399906486,None,26.514695399906486,None,27.529695299919695,None,27.529695299919695,None,27.529695299919695,None,27.529695299919695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.133520800154656,None,29.133520800154656,None,29.133520800154656,None,None,,0.011946800164878368,1.024104000069201,29.133520800154656,None,29.133520800154656,None,30.152897200081497,None,30.152897200081497,None,30.152897200081497,None,30.152897200081497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.967153999954462,None,31.967153999954462,None,31.967153999954462,None,None,,0.012421699706465006,1.0236603999510407,31.967153999954462,None,31.967153999954462,None,32.98401809995994,None,32.98401809995994,None,32.98401809995994,None,32.98401809995994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58573709987104,None,34.58573709987104,None,34.58573709987104,None,None,,0.012166900094598532,1.02323989989236,34.58573709987104,None,34.58573709987104,None,35.602731599938124,None,35.602731599938124,None,35.602731599938124,None,35.602731599938124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.32178039988503,None,37.32178039988503,None,37.32178039988503,None,None,,0.012114500626921654,1.0389309003949165,37.32178039988503,None,37.32178039988503,None,38.33859199983999,None,38.33859199983999,None,38.33859199983999,None,38.33859199983999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1410535001196,None,40.1410535001196,None,40.1410535001196,None,None,,0.011879600118845701,1.0224373997189105,40.1410535001196,None,40.1410535001196,None,41.157636399846524,None,41.157636399846524,None,41.157636399846524,None,41.157636399846524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.75957449991256,None,42.75957449991256,None,42.75957449991256,None,None,,0.011926800012588501,1.0225784997455776,42.75957449991256,None,42.75957449991256,None,43.778789199888706,None,43.778789199888706,None,43.778789199888706,None,43.778789199888706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.481400799937546,None,45.481400799937546,None,45.481400799937546,None,None,,0.010264299809932709,1.019486099947244,45.481400799937546,None,45.481400799937546,None,46.495686300098896,None,46.495686300098896,None,46.495686300098896,None,46.495686300098896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19905420020223,None,48.19905420020223,None,48.19905420020223,None,None,,0.011253600474447012,1.021136600524187,48.19905420020223,None,48.19905420020223,None,49.215396999847144,None,49.215396999847144,None,49.215396999847144,None,49.215396999847144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.81509819999337,None,50.81509819999337,None,50.81509819999337,None,a,0.06369630014523864,0.013084199745208025,1.0082728997804224,50.81509819999337,None,50.81509819999337,None,51.81462079985067,None,51.81462079985067,None,51.81462079985067,None,51.81462079985067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.61934390012175,None,53.61934390012175,None,53.61934390012175,None,None,,0.01123780058696866,1.0214705006219447,53.61934390012175,None,53.61934390012175,None,54.636498800013214,None,54.636498800013214,None,54.636498800013214,None,54.636498800013214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.23912400007248,None,56.23912400007248,None,56.23912400007248,None,None,,0.011807800270617008,1.0216739005409181,56.23912400007248,None,56.23912400007248,None,57.255444599781185,None,57.255444599781185,None,57.255444599781185,None,57.255444599781185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.95691000018269,None,58.95691000018269,None,58.95691000018269,None,None,,0.011916500050574541,1.022865400183946,58.95691000018269,None,58.95691000018269,None,59.97396390000358,None,59.97396390000358,None,59.97396390000358,None,59.97396390000358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.77628149976954,None,61.77628149976954,None,61.77628149976954,None,None,,0.012005599681288004,1.0233259997330606,61.77628149976954,None,61.77628149976954,None,62.793477199971676,None,62.793477199971676,None,62.793477199971676,None,62.793477199971676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.39515670016408,None,64.39515670016408,None,64.39515670016408,None,None,,0.012712199706584215,1.0104609997943044,64.39515670016408,None,64.39515670016408,None,65.39660229999572,None,65.39660229999572,None,65.39660229999572,None,65.39660229999572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.09634299995378,None,67.09634299995378,None,67.09634299995378,None,None,,0.01286129979416728,1.0080727995373309,67.09634299995378,None,67.09634299995378,None,68.09794159978628,None,68.09794159978628,None,68.09794159978628,None,68.09794159978628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.79928570007905,None,69.79928570007905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80116100003943,None,71.80116100003943,None,73.82384919980541,None,73.82384919980541,None,space,0.6308110998943448,0.007774700410664082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,74.47042360017076,None,74.47042360017076,None,74.47042360017076,75.48625670000911,75.45225430000573,76.45692089991644,76.45692089991644,77.45633060019463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48108199983835,None,77.48108199983835,None,77.48108199983835,None,77.48108199983835,None,80.99120339984074,None,80.99120339984074,None,82.4956351001747,None,82.4956351001747,None,82.4956351001747,None,None,0.007685599848628044,1.015085100196302,82.4956351001747,None,82.4956351001747,None,83.5109124998562,None,83.5109124998562,None,83.5109124998562,None,83.5109124998562,None,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_18_1123,intro,59.96508829710778,
