A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,5.51822859980166,None,5.51822859980166,None,space,8.885169100016356,0.010465796571224928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,0,0,0,0,,,,,,,,,14.393432599958032,None,14.393432599958032,None,14.393432599958032,15.393691499717534,15.376987099647522,16.3779486999847,16.3779486999847,17.378743599634618,17.412163199856877,None,17.412163199856877,None,17.412163199856877,None,17.412163199856877,None,20.915217399597168,None,20.915217399597168,None,22.433184299618006,None,22.433184299618006,None,22.433184299618006,None,a,0.3023498998954892,0.006736500188708305,1.0143417003564537,22.433184299618006,None,22.433184299618006,None,23.434067599941045,None,23.434067599941045,None,23.434067599941045,None,23.434067599941045,None,None,0.011939199641346931,1.8087768997065723,23.434067599941045,None,23.434067599941045,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.235567099880427,None,25.235567099880427,None,25.235567099880427,None,a,0.44817710015922785,0.01142300060018897,1.0070968004874885,25.235567099880427,None,25.235567099880427,None,26.23649639962241,None,26.23649639962241,None,26.23649639962241,None,26.23649639962241,None,a,0.011311499867588282,1.7074672998860478,26.23649639962241,None,26.23649639962241,None,0.9194634999148548,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.93797399988398,None,27.93797399988398,None,27.93797399988398,None,l,0.5134841003455222,0.011195600032806396,1.0066009000875056,27.93797399988398,None,27.93797399988398,None,28.93881279975176,None,28.93881279975176,None,28.93881279975176,None,28.93881279975176,None,None,0.011319899931550026,1.7074672998860478,28.93881279975176,None,28.93881279975176,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.657022199593484,None,30.657022199593484,None,30.657022199593484,None,l,0.5674903001636267,0.007778399623930454,1.0164897996000946,30.657022199593484,None,30.657022199593484,None,31.65786789963022,None,31.65786789963022,None,31.65786789963022,None,31.65786789963022,None,l,0.011375000234693289,1.7075983001850545,31.65786789963022,None,31.65786789963022,None,1.2181021999567747,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35934689966962,None,33.35934689966962,None,33.35934689966962,None,l,0.14857179997488856,0.011414299719035625,1.0070326998829842,33.35934689966962,None,33.35934689966962,None,34.360276699997485,None,34.360276699997485,None,34.360276699997485,None,34.360276699997485,None,l,0.01083889976143837,1.8065913999453187,34.360276699997485,None,34.360276699997485,None,0.08260730002075434,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.178541499655694,None,36.178541499655694,None,36.178541499655694,None,None,,0.0073656002059578896,1.0155787002295256,36.178541499655694,None,36.178541499655694,None,37.17935589980334,None,37.17935589980334,None,37.17935589980334,None,37.17935589980334,None,l,0.01177580002695322,1.8084762999787927,37.17935589980334,None,37.17935589980334,None,0.38440570002421737,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98091769963503,None,38.98091769963503,None,38.98091769963503,None,None,,0.011225299909710884,1.006634300108999,38.98091769963503,None,38.98091769963503,None,39.98179589956999,None,39.98179589956999,None,39.98179589956999,None,39.98179589956999,None,None,0.011228099931031466,1.6072187996469438,39.98179589956999,None,39.98179589956999,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.59995549963787,None,41.59995549963787,None,41.59995549963787,None,None,,0.006995100062340498,1.0148833999410272,41.59995549963787,None,41.59995549963787,None,42.6174931996502,None,42.6174931996502,None,42.6174931996502,None,42.6174931996502,None,a,0.007758399471640587,1.8170710997655988,42.6174931996502,None,42.6174931996502,None,0.26301900018006563,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.41901319986209,None,44.41901319986209,None,44.41901319986209,None,None,,0.011865900363773108,1.0079441000707448,44.41901319986209,None,44.41901319986209,None,45.41994809964672,None,45.41994809964672,None,45.41994809964672,None,45.41994809964672,None,l,0.011181899812072515,1.607111199758947,45.41994809964672,None,45.41994809964672,None,0.5055860001593828,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
