A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_4.keys,keyPressTrial_4.started,keyPressTrial_4.stopped,green_4.started,green_4.stopped,red_4.started,red_4.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,keyPressTrial_4.rt,keyPressTrial_2.rt,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,,,,,,,,,5.055191399995238,None,5.055191399995238,None,space,3.7003488996997476,0.003578488714993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.75854539964348,None,8.75854539964348,None,8.75854539964348,9.759443399962038,9.742717899847776,10.743672200012952,10.743672200012952,11.744500000029802,11.77788779977709,None,11.77788779977709,None,11.77788779977709,None,11.77788779977709,None,15.280952999833971,None,15.280952999833971,None,16.798977399710566,None,16.798977399710566,None,16.798977399710566,None,l,0.32189369993284345,0.009054929949343204,1.0190811301581562,16.798977399710566,None,16.798977399710566,None,17.79980589961633,None,17.79980589961633,None,17.79980589961633,None,17.79980589961633,None,None,0.010436829645186663,1.8057885295711458,17.79980589961633,None,17.79980589961633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.601373199839145,None,19.601373199839145,None,19.601373199839145,None,None,,0.011099429801106453,1.006443829741329,19.601373199839145,None,19.601373199839145,None,20.602252000011504,None,20.602252000011504,None,20.602252000011504,None,20.602252000011504,None,l,0.010490430053323507,1.8059010300785303,20.602252000011504,None,20.602252000011504,None,0.3192302999086678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.403798199724406,None,22.403798199724406,None,22.403798199724406,None,a,0.590911400038749,0.01175373001024127,1.007779429666698,22.403798199724406,None,22.403798199724406,None,23.40471649961546,None,23.40471649961546,None,23.40471649961546,None,23.40471649961546,None,a,0.011672029737383127,1.7080968297086656,23.40471649961546,None,23.40471649961546,None,1.1421044003218412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.106163899879903,None,25.106163899879903,None,25.106163899879903,None,a,0.23236560029909015,0.011483629699796438,1.0072594294324517,25.106163899879903,None,25.106163899879903,None,26.107105699833483,None,26.107105699833483,None,26.107105699833483,None,26.107105699833483,None,l,0.008814330212771893,1.6023572301492095,26.107105699833483,None,26.107105699833483,None,0.044604700058698654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70845519984141,None,27.70845519984141,None,27.70845519984141,None,a,0.04575200006365776,0.011236430145800114,1.0067184302024543,27.70845519984141,None,27.70845519984141,None,28.70935079967603,None,28.70935079967603,None,28.70935079967603,None,28.70935079967603,None,a,0.01145013002678752,1.6076163300313056,28.70935079967603,None,28.70935079967603,None,0.10104310000315309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.310731600038707,None,30.310731600038707,None,30.310731600038707,None,l,0.4847256997600198,0.012361830100417137,1.008995630312711,30.310731600038707,None,30.310731600038707,None,31.31160099990666,None,31.31160099990666,None,31.31160099990666,None,31.31160099990666,None,None,0.0113008301705122,1.8075172300450504,31.31160099990666,None,31.31160099990666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.11323479982093,None,33.11323479982093,None,33.11323479982093,None,None,,0.010686929803341627,1.0056191296316683,33.11323479982093,None,33.11323479982093,None,34.114074799697846,None,34.114074799697846,None,34.114074799697846,None,34.114074799697846,None,None,0.011621430050581694,1.6079835300333798,34.114074799697846,None,34.114074799697846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71544689964503,None,35.71544689964503,None,35.71544689964503,None,None,,0.010469530243426561,1.0052732299081981,35.71544689964503,None,35.71544689964503,None,36.716335699893534,None,36.716335699893534,None,36.716335699893534,None,36.716335699893534,None,None,0.010906829498708248,1.7066245297901332,36.716335699893534,None,36.716335699893534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.417871499899775,None,38.417871499899775,None,38.417871499899775,None,None,,0.012271329760551453,1.0087114297784865,38.417871499899775,None,38.417871499899775,None,39.41868879972026,None,39.41868879972026,None,39.41868879972026,None,39.41868879972026,None,a,0.012009629979729652,1.8089464297518134,39.41868879972026,None,39.41868879972026,None,1.728453999850899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
