A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,keyPressRun_12.keys,keyPressRun_12.rt,keyPressTrial.keys,keyPressTrial.rt,keyPressRun_15.keys,keyPressRun_15.rt,keyPressTrial_2.keys,keyPressTrial_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,1.0515268000017386,,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,0,0,0,0,,,,,,,,,,,None,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,1,0,1,0,,,,,,,,,,,l,0.781926099996781,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,2,0,2,0,,,,,,,,,,,a,0.2658149000053527,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,3,0,3,0,,,,,,,,,,,n,0.03558119999070186,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,4,0,4,0,,,,,,,,,,,l,0.7489105999993626,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,5,0,5,0,,,,,,,,,,,a,0.24613119999412447,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,6,0,6,0,,,,,,,,,,,l,0.2976935000042431,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,7,0,7,0,,,,,,,,,,,None,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,8,0,8,0,,,,,,,,,,,l,0.09970639999664854,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,9,0,9,0,,,,,,,,,,,None,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,10,0,10,0,,,,,,,,,,,l,0.3839866000053007,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,11,0,11,0,,,,,,,,,,,l,0.11520010000094771,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,,,,,,,,,,,,,space,2.083074399997713,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,l,0.702912800014019,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,None,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,nnnnn,2019_Jun_27_1253,untitled,3.0.1,60.151714656261,
